,metabolite,degrading,producing
421,HMDB0000626,"['CYP3A4', 'UGT2A1', 'UGT2B7', 'SULT2A1', 'ABCC3', 'ABCB11', 'ABCC11']","['CYP8B1', 'CYP7A1']"
422,HMDB0006271,['EBP'],"['HSD17B7', 'HSD17B4']"
423,HMDB0002197,"['AKR1D1', 'ABCC3', 'ABCB11', 'ABCC11']",['CYP8B1']
424,HMDB0001095,"['FUT4', 'FUT7', 'FUT9', 'FUT8', 'FUT2', 'FUT1']","['GFUS', 'SLC35C1']"
425,HMDB0006537,"['MAN2C1', 'MAN2B1', 'MAN2B2']","['HEXB', 'HEXA', 'HEXD']"
426,HMDB0001488,['PNP'],"['SLC22A13', 'SLC5A8']"
427,HMDB0004704,"['UGT1A4', 'UGT1A9', 'UGT1A6', 'UGT2B28', 'UGT2B10', 'UGT2B11', 'UGT2B4', 'UGT1A3', 'UGT1A1', 'UGT1A5', 'UGT2B17', 'UGT1A7', 'UGT1A10', 'UGT2B7', 'UGT2B15']",[]
428,HMDB0002369,"['UGT1A4', 'UGT1A9', 'CYP26B1', 'UGT1A6', 'UGT2B28', 'UGT2B10', 'UGT2B11', 'UGT2B4', 'UGT1A3', 'UGT1A1', 'UGT1A5', 'UGT2B17', 'UGT1A10', 'UGT1A7', 'UGT2B7', 'UGT2B15']","['ALDH1A1', 'ALDH1A2']"
429,HMDB0004705,"['UGT1A4', 'UGT1A9', 'UGT1A6', 'UGT2B28', 'UGT2B10', 'UGT2B11', 'UGT2B4', 'UGT1A3', 'UGT1A1', 'UGT1A5', 'UGT2B17', 'UGT1A7', 'UGT1A10', 'UGT2B7', 'UGT2B15']",[]
430,HMDB0001422,"['SHMT2', 'SHMT1']",['TMLHE']
431,HMDB0003141,[],"['UGT1A4', 'UGT1A9', 'UGT1A8', 'UGT1A6', 'UGT2B28', 'UGT2B10', 'UGT2B11', 'UGT2B4', 'UGT1A3', 'UGT1A1', 'UGT1A5', 'UGT2B17', 'UGT1A10', 'UGT1A7', 'UGT2B7', 'UGT2B15', 'UGT3A2', 'UGT2A1', 'UGT3A1', 'UGT2A3']"
432,HMDB0003325,"['GUSB', 'ABCC2', 'ABCC1', 'ABCC3']","['UGT1A4', 'UGT1A9', 'UGT1A8', 'UGT1A6', 'UGT1A3', 'UGT1A1', 'UGT1A5', 'UGT1A10', 'UGT1A7', 'UGT2A3', 'UGT2B15', 'UGT2B17', 'UGT2B7', 'UGT2B10', 'UGT2B28', 'UGT2B4', 'UGT2B11', 'SLCO1B1', 'SLC22A10']"
433,HMDB0001220,"['CBR1', 'ABCC4']","['PTGES3', 'PTGES2', 'PTGES', 'DHRS4', 'CBR3', 'AKR1C3', 'SLCO1A2', 'SLC22A2', 'SLCO4A1', 'SLCO2A1', 'SLCO3A1', 'SLC22A1', 'SLC22A3', 'SLCO1B3']"
434,HMDB0000061,"['BPNT1', 'BPNT2', 'SULT1C3']","['CHST13', 'CHST2', 'CHST12', 'SULT1A3', 'HS3ST5', 'CHST11', 'SULT1B1', 'SULT1E1', 'HS3ST6', 'HS3ST3A1', 'SULT1C2', 'GAL3ST1', 'SULT1A1', 'CHST6', 'AASDHPPT', 'CHST7', 'UST', 'SULT2B1', 'CHST1', 'HS3ST4', 'CHST4', 'HS3ST3B1', 'HS3ST1', 'SULT4A1', 'CHST3', 'CHST5', 'CHST14', 'HS3ST2', 'SULT2A1', 'SULT1A2', 'SULT1C4', 'HS6ST3', 'SULT1A4', 'HS2ST1', 'CHST15', 'CHST9', 'GAL3ST2', 'HS6ST2', 'CHST8', 'CHST10', 'DSE', 'NDST4', 'GAL3ST4', 'GAL3ST3', 'NDST3', 'NDST1', 'HS6ST1', 'NDST2', 'ENPP3', 'SULT6B1', 'ENPP1']"
435,HMDB0001345,"['ALDH9A1', 'ALDH2', 'ALDH1B1', 'ALDH3A2', 'ALDH7A1']","['SHMT2', 'SHMT1']"
436,HMDB0000821,[],['GLYAT']
437,HMDB0001316,['PGD'],"['PGLS', 'H6PD', 'IDNK']"
438,HMDB0001127,['PGLS'],[]
439,HMDB0006216,"['RBP1', 'RDH11', 'RDH14', 'RBP2', 'RDH13', 'SDR16C5', 'RDH12']",['RPE65']
440,HMDB0006330,"['GMPPA', 'GMPPB', 'FN3K', 'FN3KRP', 'FAM20B', 'NOL9', 'RNF123', 'FGGY']","['NUDT5', 'ADPRM', 'NUDT9', 'POLR3H']"
441,HMDB0001163,"['DPM3', 'ALG1', 'DPM2', 'GMDS', 'DPM1', 'ALG12', 'ALG2', 'ALG11']","['GMPPA', 'GMPPB']"
442,HMDB0000267,['OPLAH'],"['GGCT', 'GGACT']"
443,HMDB0000114,['GPCPD1'],"['CLC', 'LYPLA1', 'PNPLA7', 'ASPG', 'PLA2G15', 'LYPLA2', 'PNPLA6', 'CLCF1', 'LGALS13', 'PLA2G4A', 'PNPLA8', 'PLB1']"
444,HMDB0000086,"['GPCPD1', 'ENPP6', 'TMEM86B']","['CLC', 'LYPLA1', 'PNPLA7', 'ASPG', 'PLA2G15', 'LYPLA2', 'PNPLA6', 'CLCF1', 'LGALS13', 'PLA2G4A', 'PNPLA8', 'PLB1']"
445,HMDB0004667,[],"['GPX5', 'GPX4', 'GPX7', 'GPX8', 'PRDX6', 'GPX6', 'GPX2', 'GPX3', 'GPX1']"
446,HMDB0059639,['MOCS2'],['MOCS1']
447,HMDB0011134,"['CYP4F2', 'CYP4F22', 'CYP4F3', 'CYP4F11', 'ALOX12', 'ALOX5', 'CYP4F8']","['GPX5', 'GPX4', 'GPX7', 'GPX8', 'PRDX6', 'GPX6', 'GPX2', 'GPX3', 'GPX1']"
448,HMDB0003871,"['GPX5', 'GPX4', 'GPX7', 'GPX8', 'PRDX6', 'GPX6', 'GPX2', 'GPX3', 'GPX1']","['ALOX15B', 'ALOX15']"
449,HMDB0001193,"['GPX5', 'GPX4', 'GPX7', 'GPX8', 'PRDX6', 'GPX6', 'GPX2', 'GPX3', 'GPX1']",['ALOX5']
450,HMDB0004249,"['SYNJ2', 'PTEN', 'INPP5A', 'INPP5B', 'INPP5E', 'SYNJ1', 'INPPL1', 'TPTE2', 'INPP5J', 'INPP5D']","['PIP4K2C', 'PIK3CG', 'PIK3R3', 'PIP5K1B', 'PIK3CD', 'PIP5KL1', 'PIP4K2A', 'PIK3R2', 'PIK3R1', 'HCST', 'PIK3R5', 'PIP4K2B', 'PIP5K1A', 'PIK3CB', 'PIP5K1C', 'PIK3CA']"
451,HMDB0000999,[],['PFAS']
452,HMDB0001308,['PFAS'],[]
453,HMDB0000994,"['ALG3', 'ALG9', 'ALG12']","['DPM3', 'DPM2', 'DPM1']"
454,HMDB0006353,"['DPM3', 'DPM2', 'DPM1']","['ALG3', 'ALG6', 'ALG9', 'ALG12']"
455,HMDB0001846,"['SARDH', 'GLDC', 'DLD', 'HNMT', 'MTHFD1', 'GCSH', 'FPGS', 'MTHFD1L', 'MTHFD2L', 'MTHFD2']","['DHFR', 'MTR', 'ALDH1L2', 'ALDH1L1', 'FTCD', 'MTFMT', 'GGH', 'METTL2B', 'HEMK1', 'METTL6', 'BUD23', 'AMT', 'SLC19A1']"
456,HMDB0001056,['FPGS'],"['DHFR', 'TYMS', 'GGH', 'DHFR2']"
457,HMDB0000157,['HPRT1'],"['SLC29A3', 'SLC29A2']"
458,HMDB0000132,"['HPRT1', 'GDA']","['APRT', 'SLC29A2']"
459,HMDB0001097,['PPOX'],['CPOX']
460,HMDB0001261,['CPOX'],['UROD']
461,HMDB0060330,[],"['GSTA4', 'GSTO1', 'GSTA3', 'GSTK1', 'MGST2', 'GSTM4', 'GSTA2', 'GSTA1', 'GSTM3', 'GSTA5', 'GSTM5', 'GSTO2', 'MGST1', 'GSTP1', 'GSTM1', 'MGST3', 'GSTM2', 'GSTT1', 'GSTT2', 'GSTT2B']"
462,HMDB0060329,[],"['GSTA4', 'GSTO1', 'GSTA3', 'GSTK1', 'MGST2', 'GSTM4', 'GSTA2', 'GSTA1', 'GSTM3', 'GSTA5', 'GSTM5', 'GSTO2', 'MGST1', 'GSTP1', 'GSTM1', 'MGST3', 'GSTM2', 'GSTT1', 'GSTT2', 'GSTT2B']"
463,HMDB0060506,[],"['GSTA4', 'GSTO1', 'GSTA3', 'GSTK1', 'MGST2', 'GSTM4', 'GSTA2', 'GSTA1', 'GSTM3', 'GSTA5', 'GSTM5', 'GSTO2', 'MGST1', 'GSTP1', 'GSTM1', 'MGST3', 'GSTM2', 'GSTT1', 'GSTT2', 'GSTT2B']"
464,HMDB0060507,[],"['GSTA4', 'GSTO1', 'GSTA3', 'GSTK1', 'MGST2', 'GSTM4', 'GSTA2', 'GSTA1', 'GSTM3', 'GSTA5', 'GSTM5', 'GSTO2', 'MGST1', 'GSTP1', 'GSTM1', 'MGST3', 'GSTM2', 'GSTT1', 'GSTT2', 'GSTT2B']"
465,HMDB0006558,"['GSTA4', 'GSTO1', 'GSTA3', 'GSTK1', 'MGST2', 'GSTM4', 'GSTA2', 'GSTA1', 'GSTM3', 'GSTA5', 'GSTM5', 'EPHX1', 'GSTO2', 'MGST1', 'GSTP1', 'GSTM1', 'MGST3', 'GSTM2', 'GSTT1', 'GSTT2', 'GSTT2B']",['CYP3A5']
466,HMDB0060446,"['GSTA4', 'GSTO1', 'GSTA3', 'GSTK1', 'MGST2', 'GSTM4', 'GSTA2', 'GSTA1', 'GSTM3', 'GSTA5', 'GSTM5', 'GSTO2', 'EPHX1', 'MGST1', 'GSTP1', 'GSTM1', 'MGST3', 'GSTM2', 'GSTT1', 'GSTT2', 'GSTT2B']",[]
467,HMDB0006215,"['GSTA4', 'GSTO1', 'GSTA3', 'GSTK1', 'MGST2', 'GSTM4', 'GSTA2', 'GSTA1', 'GSTM3', 'GSTA5', 'GSTM5', 'EPHX1', 'GSTO2', 'MGST1', 'GSTP1', 'GSTM1', 'MGST3', 'GSTM2', 'GSTT1', 'GSTT2', 'GSTT2B']",['CYP2F1']
468,HMDB0060344,"['GSTA4', 'GSTO1', 'GSTA3', 'GSTK1', 'MGST2', 'GSTM4', 'GSTA2', 'GSTM3', 'GSTA5', 'GSTM5', 'GSTO2', 'MGST1', 'GSTP1', 'GSTA1', 'GSTM1', 'MGST3', 'GSTM2', 'GSTT1', 'GSTT2', 'GSTT2B']",['CYP2E1']
469,HMDB0060327,[],"['GSTA4', 'GSTO1', 'GSTA3', 'GSTK1', 'MGST2', 'GSTM4', 'GSTA2', 'GSTA1', 'GSTM3', 'GSTA5', 'GSTM5', 'GSTO2', 'MGST1', 'GSTP1', 'MGST3', 'GSTM1', 'GSTM2', 'GSTT1', 'GSTT2', 'GSTT2B']"
470,HMDB0000027,"['TPH1', 'TPH2', 'TH', 'PAH']","['QDPR', 'SPR']"
471,HMDB0002215,['QDPR'],"['TPH1', 'TPH2', 'TH', 'PAH', 'PCBD1', 'PCBD2']"
472,HMDB0060326,[],"['GSTA4', 'GSTO1', 'GSTA3', 'GSTK1', 'MGST2', 'GSTM4', 'GSTA2', 'GSTA1', 'GSTM3', 'GSTA5', 'GSTM5', 'GSTO2', 'MGST1', 'GSTP1', 'MGST3', 'GSTM1', 'GSTM2', 'GSTT1', 'GSTT2', 'GSTT2B']"
473,HMDB0060358,[],"['GSTA4', 'GSTO1', 'GSTK1', 'GSTA3', 'MGST2', 'GSTM4', 'GSTA2', 'GSTA1', 'GSTM3', 'GSTA5', 'GSTM5', 'GSTO2', 'MGST1', 'GSTP1', 'MGST3', 'GSTM1', 'GSTM2', 'GSTT1', 'GSTT2', 'GSTT2B']"
474,HMDB0001491,"['PDXP', 'PHOSPHO2', 'KLHL23', 'SH3BP1']","['PNPO', 'PDXK', 'SCLY']"
475,HMDB0001545,"['AOX1', 'PDXK']","['PNPO', 'PDXP', 'PHOSPHO2']"
476,HMDB0001555,"['PNPO', 'PDXP']","['PDXK', 'PHOSPHO2']"
477,HMDB0062696,"['PNPO', 'PDXK']",['PDXP']
478,HMDB0001319,"['PNPO', 'SCLY', 'PDXP']","['PDXK', 'PHOSPHO2']"
479,HMDB0000239,"['PNPO', 'PDXK']","['PDXP', 'PHOSPHO2']"
480,HMDB0060381,[],"['GSTA4', 'GSTO1', 'GSTA3', 'GSTK1', 'MGST2', 'GSTM4', 'GSTA2', 'GSTA1', 'GSTM3', 'GSTA5', 'GSTM5', 'GSTO2', 'MGST1', 'GSTP1', 'MGST3', 'GSTM1', 'GSTM2', 'GSTT1', 'GSTT2', 'GSTT2B']"
481,HMDB0060423,[],"['GSTA4', 'GSTO1', 'GSTK1', 'GSTA3', 'MGST2', 'GSTM4', 'GSTA2', 'GSTA1', 'GSTM3', 'GSTA5', 'GSTM5', 'GSTO2', 'MGST1', 'GSTP1', 'MGST3', 'GSTM1', 'GSTM2', 'GSTT1', 'GSTT2', 'GSTT2B']"
482,HMDB0060300,[],"['GSTA4', 'GSTO1', 'GSTK1', 'GSTA3', 'MGST2', 'GSTM4', 'GSTA2', 'GSTA1', 'GSTM3', 'GSTA5', 'GSTM5', 'GSTO2', 'MGST1', 'GSTP1', 'MGST3', 'GSTM1', 'GSTM2', 'GSTT1', 'GSTT2', 'GSTT2B']"
483,HMDB0060302,[],"['GSTA4', 'GSTO1', 'GSTK1', 'GSTA3', 'MGST2', 'GSTM4', 'GSTA2', 'GSTA1', 'GSTM3', 'GSTA5', 'GSTM5', 'GSTO2', 'MGST1', 'GSTP1', 'MGST3', 'GSTM1', 'GSTM2', 'GSTT1', 'GSTT2', 'GSTT2B']"
484,HMDB0060431,[],"['GSTA4', 'GSTO1', 'GSTK1', 'GSTA3', 'MGST2', 'GSTM4', 'GSTA2', 'GSTA1', 'GSTM3', 'GSTA5', 'GSTM5', 'GSTO2', 'MGST1', 'GSTP1', 'MGST3', 'GSTM1', 'GSTM2', 'GSTT1', 'GSTT2', 'GSTT2B']"
485,HMDB0060504,[],"['GSTA4', 'GSTO1', 'GSTK1', 'GSTA3', 'MGST2', 'GSTM4', 'GSTA2', 'GSTA1', 'GSTM3', 'GSTA5', 'GSTM5', 'GSTO2', 'MGST1', 'GSTP1', 'MGST3', 'GSTM1', 'GSTM2', 'GSTT1', 'GSTT2', 'GSTT2B']"
486,HMDB0029225,[],"['GSTA4', 'GSTO1', 'GSTK1', 'GSTA3', 'MGST2', 'GSTM4', 'GSTA2', 'GSTA1', 'GSTM3', 'GSTA5', 'GSTM5', 'GSTO2', 'MGST1', 'GSTP1', 'MGST3', 'GSTM1', 'GSTM2', 'GSTT1', 'GSTT2']"
487,HMDB0060342,[],"['GSTA4', 'GSTO1', 'GSTK1', 'GSTA3', 'MGST2', 'GSTM4', 'GSTA2', 'GSTA1', 'GSTM3', 'GSTA5', 'GSTM5', 'GSTO2', 'MGST1', 'GSTP1', 'MGST3', 'GSTM1', 'GSTM2', 'GSTT1', 'GSTT2', 'GSTT2B']"
488,HMDB0060343,[],"['GSTA4', 'GSTO1', 'GSTK1', 'GSTA3', 'MGST2', 'GSTM4', 'GSTA2', 'GSTA1', 'GSTM3', 'GSTA5', 'GSTM5', 'GSTO2', 'MGST1', 'GSTP1', 'MGST3', 'GSTM1', 'GSTM2', 'GSTT1', 'GSTT2', 'GSTT2B']"
489,HMDB0060505,[],"['GSTA4', 'GSTO1', 'GSTK1', 'GSTA3', 'MGST2', 'GSTM4', 'GSTA2', 'GSTA1', 'GSTM3', 'GSTA5', 'GSTM5', 'GSTO2', 'MGST1', 'GSTP1', 'MGST3', 'GSTM1', 'GSTM2', 'GSTT1', 'GSTT2', 'GSTT2B']"
490,HMDB0001257,"['SMS', 'AOC3', 'AOC1', 'AOC2']","['PAOX', 'SRM', 'SMOX', 'SLC22A1']"
491,HMDB0000988,"['SMS', 'SRM']",['AMD1']
492,HMDB0001173,['MTAP'],"['SMS', 'SRM']"
493,HMDB0001256,"['AOC3', 'AOC1', 'SMOX', 'AOC2']","['SMS', 'SRM', 'SLC22A1']"
494,HMDB0000134,[],"['FH', 'FAH', 'ADSL', 'FAHD1', 'SLC25A10', 'SLC25A11']"
495,HMDB0001139,"['DHRS4', 'CBR3']","['CBR1', 'SLCO1B1', 'SLC22A2', 'SLCO2A1', 'SLC22A1', 'SLC22A3']"
496,HMDB0062702,"['OGA', 'HEXB', 'HEXA']",[]
497,HMDB0001358,"['ALDH1A2', 'CYP1A2', 'ALDH1A1', 'RBP2', 'RBP1']","['RDH10', 'ADH6', 'ADHFE1', 'ADH1B', 'RDH11', 'ADH1C', 'HSD17B6', 'DHRS9', 'RDH8', 'ADH7', 'ADH5', 'ADH1A', 'RDH14', 'RDH13', 'SDR16C5', 'DHRS3', 'ADH4', 'RDH12', 'BCO1', 'ABCA4']"
498,HMDB0006806,[],"['ACSS2', 'ACSS3', 'ACSS1']"
499,HMDB0004234,"['CYP4F2', 'CYP4F22', 'CYP4F3']","['CBR1', 'CBR3']"
500,HMDB0012504,[],"['CBR1', 'CBR3', 'DHRS4']"
501,HMDB0006880,[],"['ACSS2', 'ACSS1']"
502,HMDB0000237,"['ACSS2', 'AACS', 'ACSS3', 'ACSS1']","['ACOT7', 'ACOT2', 'ACOT9', 'SLC16A1', 'SLC5A8', 'SLC16A4', 'SLC16A5', 'SLC16A8', 'SLC16A7', 'SLC16A6', 'SLC16A3']"
503,HMDB0001852,"['CYP26B1', 'UGT1A8', 'UGT1A10', 'CYP26A1', 'CYP2A13', 'CYP2E1', 'CYP4B1', 'CYP2S1', 'CYP2U1', 'CYP19A1', 'CYP2A6', 'CYP2C9', 'CYP2F1', 'CYP1A1', 'CYP4F11', 'CYP3A5', 'CYP2J2', 'CYP3A7', 'CYP2C19', 'UGT1A1', 'CYP4F12', 'CYP4X1', 'CYP2C18', 'CYP2A7', 'CYP4F8', 'CYP3A43', 'CYP3A4', 'CYP2C8', 'CYP1A2', 'CYP2B6', 'CYP4Z1', 'CYP1B1', 'CYP2D6', 'UGT2A3', 'UGT2B15', 'UGT1A3', 'UGT1A5', 'CYP4A11', 'UGT2B17', 'UGT1A7', 'CYP4A22', 'UGT2B7', 'UGT1A6', 'UGT2B10', 'UGT2B28', 'UGT1A9', 'UGT2B4', 'UGT2B11', 'UGT1A4']","['ALDH1A2', 'ALDH1A1', 'SLC16A1', 'SLC16A4', 'SLC16A5', 'SLC16A8', 'SLC16A7', 'SLC16A6', 'SLC16A3']"
504,HMDB0000167,"['TARS3', 'SDS', 'SDSL', 'TARS2', 'NDUFAB1', 'TARS1', 'SLC7A6', 'SLC1A5', 'SLC7A9', 'SLC1A4', 'SLC7A11', 'SLC3A1']","['THNSL1', 'SLC7A10', 'SLC7A8', 'SLC7A5', 'CLTRN', 'SLC43A1', 'SLC3A2', 'SLC38A2', 'ACE2', 'SLC6A19', 'SLC38A1', 'SLC6A14', 'SLC43A2', 'SLC6A15', 'SLC4A5', 'ABCA1', 'SLC7A2', 'SLC36A1', 'SLC7A1', 'SLC38A4', 'SLC7A3', 'SLC7A7']"
505,HMDB0000286,"['ALG5', 'ENPP3', 'GYS1', 'UGDH', 'PLOD3', 'GYS2', 'ENPP1', 'PPP1R3B', 'PPP1R3C', 'ENPP2', 'UGCG', 'GYG1', 'GYG2']","['SLC35D2', 'SLC35B4', 'SLC35A3']"
506,HMDB0000791,[],"['CROT', 'SLC25A20', 'SLC25A29']"
507,HMDB0001419,['CYP39A1'],['CYP46A1']
508,HMDB0000067,"['CYP46A1', 'SULT1A3', 'COQ6', 'CYP4V2', 'CH25H', 'LCAT', 'CYP27A1', 'SULT2B1', 'SOAT2', 'CYP11A1', 'SOAT1', 'CYP7A1', 'CYP2E1', 'STAR', 'STARD10', 'STARD13', 'STARD6', 'STARD7', 'STARD9', 'STARD5', 'STARD4', 'STARD8', 'ABCA1', 'LIPA', 'ABCG8', 'ABCG5', 'ABCG1']","['DHCR24', 'CEL', 'DHCR7', 'STARD3', 'HDLBP', 'NPC1', 'NPC1L1']"
509,HMDB0000245,['HMBS'],['ALAD']
510,HMDB0001409,"['NT5M', 'NT5C3A', 'TYMS', 'NT5C']","['TK1', 'DTYMK', 'TK2', 'ITPA', 'DUT']"
511,HMDB0000012,"['TK1', 'TK2', 'TYMP']","['CDA', 'NT5M', 'NT5C3A', 'AICDA', 'NT5C', 'APOBEC3G', 'SLC28A1', 'SLC29A2', 'SLC28A3', 'SLC28A2', 'SLC29A1']"
512,HMDB0006235,"['INPP4A', 'INPP4B']",['INPP1']
513,HMDB0004224,[],"['NOS1', 'NOS2', 'NOS3']"
514,HMDB0000904,"['ASS1', 'SLC7A6']","['NOS1', 'DDAH2', 'OTC', 'DDAH1', 'NOS2', 'NOS3', 'SLC25A15', 'SLC25A2', 'SFXN3', 'SLC7A2', 'SLC7A9', 'SLC3A1', 'SLC7A5']"
515,HMDB0000517,"['NOS1', 'ARG2', 'NOS2', 'RARS2', 'NOS3', 'ARG1', 'RARS1', 'NDUFAB1', 'AZIN2', 'CARNS1', 'SLC7A7', 'SLC7A6', 'SLC38A4', 'SLC3A2']","['ADPRH', 'SLC25A15', 'SLC7A1', 'CLTRN', 'SLC25A2', 'SLC7A2', 'SLC7A9', 'SLC6A18', 'SLC6A14', 'SLC7A3', 'SLC3A1', 'SLC36A1', 'SLC7A5', 'SLC6A9']"
516,HMDB0012134,['ADI1'],['ENOPH1']
517,HMDB0059620,['ENOPH1'],['APIP']
518,HMDB0002137,[],"['DECR1', 'DECR2', 'ECHS1', 'ACAA2', 'HADH', 'ACADM']"
519,HMDB0000177,"['TXN', 'HDC', 'APOC3', 'HARS1', 'HAL', 'CARNS1', 'HARS2', 'NDUFAB1', 'DDC', 'METTL2B', 'HEMK1', 'METTL6', 'BUD23', 'SLC15A4', 'SLC15A3']","['CNDP1', 'CNDP2', 'SLC6A9', 'SLC38A3', 'SLC7A7', 'SLC38A5', 'SLC7A1', 'SLC7A6', 'SLC38A4', 'SLC3A2', 'SLC38A2', 'SLC25A2', 'SLC7A9', 'SLC6A14', 'SLC43A2', 'SLC43A1', 'SLC7A2', 'SLC3A1', 'SLC36A1', 'SLC7A5', 'SLC7A3', 'SLC7A8', 'SLC25A15']"
520,HMDB0000033,"['CNDP1', 'CNDP2', 'SLC15A4', 'SLC15A3']","['CARNS1', 'SLC15A1']"
521,HMDB0001859,"['UGT1A9', 'UGT1A6', 'CYP2A6', 'SULT1A1', 'UGT1A1', 'CYP2E1']","['ABCB1', 'ABCC3']"
522,HMDB0001178,"['NUDT5', 'NUDT9', 'ADPRM', 'TRPM2']","['ART5', 'ART4', 'ART1', 'ART3', 'SIRT6', 'ADPRH', 'CD38', 'BST1']"
523,HMDB0001253,"['TYRP1', 'TYR']",['MIF']
524,HMDB0010316,[],"['UGT1A9', 'UGT1A6', 'UGT1A1', 'ABCC3']"
525,HMDB0000062,['SLC22A4'],"['CPT1A', 'BBOX1', 'CPT2', 'SLC25A29', 'SLC22A9', 'SLC25A20', 'SLC22A5', 'SLC22A1', 'SLC6A14', 'SLC22A16', 'LPCAT3', 'SLC33A1', 'ESCO2', 'MBOAT7', 'AGPAT4', 'ESCO1', 'OXSM', 'EGFR', 'SLC22A15', 'ELOVL6', 'PNPLA3', 'MBOAT2', 'ELOVL5', 'AGPAT3', 'ELOVL2', 'LPGAT1', 'HYAL3', 'LPCAT4', 'TAFAZZIN']"
526,HMDB0001155,['FHIT'],[]
527,HMDB0001406,"['NNMT', 'NAMPT', 'SIRT2', 'SIRT7', 'SIRT4', 'SIRT1', 'SIRT3', 'SIRT5', 'TRPT1']","['ART5', 'ART4', 'ART1', 'ART3', 'SIRT6', 'CD38', 'BST1']"
528,HMDB0000052,[],['ASS1']
529,HMDB0050513,"['PNLIPRP1', 'LIPE', 'AADAC', 'PNPLA4', 'PNLIP', 'PNPLA3', 'LIPC', 'PNLIPRP2', 'PNPLA2', 'LPL', 'LIPG', 'PNLIPRP3', 'CEL', 'LIPF']","['DGAT2', 'MOGAT1', 'MOGAT3', 'DGAT1', 'MOGAT2', 'DAGLB', 'DAGLA']"
530,HMDB0002178,"['ACOX1', 'ACOX3']","['AMACR', 'ACOX2', 'HSD17B4', 'SLC27A5']"
531,HMDB0002288,['ACOX1'],"['EHHADH', 'HADHB', 'ACAA1', 'ACADVL', 'HSD17B4', 'HADHA']"
532,HMDB0000235,['TPK1'],"['SLC19A3', 'SLC19A2']"
533,HMDB0012556,"['ACOX1', 'SLC27A4', 'ECHS1', 'ACOT8', 'BAAT', 'ACOT7', 'ACOT1', 'AASDH', 'HADHB', 'HSD17B10', 'AMACR', 'ACOT4', 'SLC27A2', 'ACAA2', 'HADH', 'ACSF3', 'ACOT2', 'ACAA1', 'HSD17B4', 'ACSF2', 'ACOX3', 'HADHA', 'SLC27A1', 'SLC27A3']","['CYP4F2', 'CYP4F22', 'CYP4F3']"
534,HMDB0002145,"['ACOX1', 'ACADM']","['ECHS1', 'EHHADH', 'ACAA2', 'HADH', 'ACAA1', 'HSD17B4']"
535,HMDB0002057,"['ACOX1', 'MYO5B', 'ACOT2', 'ACAA1', 'ACOX2', 'ACOX3']","['SLC27A2', 'ABCD3']"
536,HMDB0000127,[],"['HYAL3', 'MIOX', 'UXS1', 'UGT1A5', 'UGT2B15', 'UGT2A3', 'UGT1A3', 'UGT1A10', 'UGT1A1', 'ABHD10', 'UGT2B17', 'UGT1A7', 'UGT2B7', 'UGT1A6', 'UGT2B28', 'UGT2B10', 'UGT1A8', 'UGT1A9', 'UGT2B4', 'UGT2B11', 'UGT1A4', 'SLC17A5']"
537,HMDB0012290,[],['MTR']
538,HMDB0001396,"['MTR', 'METTL2B', 'HEMK1', 'METTL6', 'BUD23']","['HNMT', 'MTHFR', 'FOLR1', 'SLC19A1', 'FOLR3']"
539,HMDB0000742,"['MTR', 'CBS', 'BHMT2', 'BHMT']",['AHCYL2']
540,HMDB0012177,['MTR'],[]
541,HMDB0000060,"['AACS', 'OXCT1', 'OXCT2']","['FAH', 'HMGCLL1', 'HMGCL', 'ADHFE1', 'SLC16A1', 'SLC16A7', 'SLC16A4', 'SLC16A5', 'SLC16A8', 'SLC16A6', 'SLC16A3']"
542,HMDB0001268,['FAH'],['GSTZ1']
543,HMDB0001352,"['GRHPR', 'HYI']",['AGXT']
544,HMDB0001232,"['SULT1A3', 'SULT1A1', 'CYP2E1', 'SULT1A2']","['PON3', 'PON2', 'ALPI', 'ALPP', 'ALPG', 'PON1']"
545,HMDB0000077,"['SULT1A3', 'HSD3B1', 'SULT1E1', 'HSD3B2', 'SULT2A1', 'SULT2B1', 'CYP7A1']","['CYP17A1', 'STS', 'BCO2']"
546,HMDB0000216,"['SULT1A3', 'COMT', 'COMTD1', 'MAOA', 'PNMT', 'MAOB', 'TOMT', 'SLC18A2', 'SLC18A1']","['MOXD1', 'DBH', 'SLCO1A2', 'SLC22A3', 'SLC22A2', 'SLC6A2', 'SLC6A3', 'SLC22A1', 'SLC29A4', 'SLCO1B3', 'SLC7A9']"
547,HMDB0000253,"['SULT1A3', 'HSD3B1', 'CYP21A2', 'CYP7B1', 'HSD3B2', 'CYP17A1', 'SULT2B1', 'SULT2A1', 'ABCB1']",['CYP11A1']
548,HMDB0000306,"['SULT1A3', 'MAOA', 'SULT1A1', 'MAOB', 'AOC1', 'SULT1A2', 'TOMT', 'SULT1A4', 'AOC3', 'INMT', 'AOC2', 'COMT', 'TYR']","['DDC', 'SLC29A4', 'SLC22A3', 'SLC22A2', 'SLC22A1']"
549,HMDB0000648,"['SULT1A3', 'GALC', 'GAL3ST1', 'DDO']","['SLC1A2', 'SLC1A7', 'SLC1A3', 'SLC1A1', 'SLC1A6']"
